Numero de subidas/descidas constantes selecionadas 3
Ano 01/01/2021 31/12/2021
Ação 3_estados Heuristica_M3
PSSA3 52.24 57.959183673469
GGBR4 53.88 53.469387755102
BRFS3 53.06 58.775510204082
BRFS3 46.12 50.204081632653
ENBR3 49.39 49.795918367347
ENBR3 57.96 55.510204081633
CESP6 39.11 45.564516129032
ALPA4 51.02 52.244897959184
CIEL3 57.14 60.816326530612
ALPA4 50.61 48.987854251012
PSSA3 54.25 55.465587044534
ALPA4 50.61 48.987854251012
ALPA4 51.02 52.244897959184
ALPA4 51.02 52.244897959184
ALPA4 48.16 45.714285714286
ALPA4 41.22 50.204081632653
ALPA4 47.39 53.012048192771
ALPA4 44.58 49.397590361446
ALPA4 48.18 51.821862348178
ENGI11 45.76 43.220338983051
ENGI11 40.24 47.154471544715
ENGI11 30.51 33.898305084746
ENGI11 30.51 33.898305084746
ENGI11 45.76 44.067796610169
ENGI11 45.76 43.220338983051
ENGI11 45.76 44.067796610169
ENGI11 45.76 44.067796610169
ENGI11 30.51 33.898305084746
ENGI11 46.12 56.734693877551
ALPA4 41.22 50.204081632653
ALPA4 45.75 52.631578947368
ALPA4 41.22 50.204081632653
ALPA4 41.22 50.204081632653
PSSA3 50.2 63.673469387755
ALPA4 41.22 50.204081632653
ALPA4 49.19 60.569105691057
ALPA4 41.22 50.204081632653
ALPA4 49.19 60.569105691057
ALPA4 49.19 60.569105691057
ALPA4 48.78 58.536585365854
ALPA4 49.19 60.569105691057
ALPA4 51.02 52.244897959184
ALPA4 41.22 50.204081632653
ALPA4 51.02 52.244897959184
ALPA4 49.19 60.569105691057
ALPA4 46.37 58.870967741935
ALPA4 51.02 52.244897959184
PSSA3 51.84 55.102040816327
ALPA4 47.2 50.4
PSSA3 51.6 54.8
GGBR4 50.8 51.2
BRFS3 52.4 54
ENGI11 43.2 44.8
ENBR3 45.6 47.2
CIEL3 46.4 47.6
BBAS3 45.2 46.8
ITSA4 48.4 48
LREN3 50 51.6
HYPE3 48 50.4
GOAU4 46 44.8
CYRE3 49.6 50.4
MULT3 47.6 47.6
BBDC3 44.8 46.4
BBDC4 45.6 45.2
BRKM5 59.2 58
BRML3 48 48
CESP6 43.1 48.275862068966
CMIG4 47.6 48.4
COCE5 54.8 54.4
CPFE3 51.6 51.2
CPLE6 47.2 47.2
CSNA3 52 52.8
DIRR3 49.2 48.8
EQTL3 48.4 50.4
EVEN3 48.8 48.8
EZTC3 54 56.4
FLRY3 50.8 51.6
ITUB3 39.6 42.8
ITUB4 46 48.4
JBSS3 48 47.6
JHSF3 54.8 54.8
LAME3 40 40
LAME4 53.33 53.333333333333
MRFG3 48.4 48.8
MRVE3 50.4 53.2
ODPV3 52.4 55.2
RENT3 45.2 49.2
SANB11 46 48.4
SMTO3 48.4 49.2
SULA11 54.47 55.284552845528
TRIS3 52 54
TRPL4 49.6 47.6
WEGE3 50.4 52.4
ALPA4 41.22 50.204081632653
ALPA4 49.19 60.569105691057
ALPA4 48.78 58.536585365854
